Date : 2025-08-08 13:18:35
Directory : d:\Code Files\vscode
Total : 481 files,  67822 codes, 24439 comments, 10322 blanks, all 102583 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\components\Sidebar.html                                                     | HTML               |         21 |          0 |          0 |         21 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\imgs\Logo.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\items.html                                                                  | HTML               |         56 |          0 |          0 |         56 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\analysis.html                                                         | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\architecture.html                                                     | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\crops.html                                                            | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\dashboard.html                                                        | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\devices.html                                                          | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\irrigation.html                                                       | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\logs.html                                                             | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\overview.html                                                         | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\settings.html                                                         | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\users.html                                                            | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\pages\weather.html                                                          | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\privacy.html                                                                | HTML               |         56 |          0 |          0 |         56 |
| d:\Code Files\vscode\HTML\Projects\IntelligentIrrigationSystem\settings.html                                                               | HTML               |         14 |          0 |          0 |         14 |
| d:\Code Files\vscode\HTML\Projects\LoginRegPage\.continue\docs\new-doc.yaml                                                                | YAML               |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\HTML\Projects\LoginRegPage\LoginRegPage.css                                                                           | PostCSS            |        198 |         10 |         25 |        233 |
| d:\Code Files\vscode\HTML\Projects\LoginRegPage\LoginRegPage.html                                                                          | HTML               |         78 |          7 |          6 |         91 |
| d:\Code Files\vscode\HTML\Projects\LoginRegPage\LoginRegPage.js                                                                            | JavaScript         |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\HTML\src\html\mercur.html                                                                                             | HTML               |         10 |          0 |          0 |         10 |
| d:\Code Files\vscode\HTML\src\html\sun.html                                                                                                | HTML               |         10 |          0 |          0 |         10 |
| d:\Code Files\vscode\HTML\src\html\venus.html                                                                                              | HTML               |         10 |          0 |          0 |         10 |
| d:\Code Files\vscode\Latex\Ali-loner.github.io-master\The LaTeX testfile for vscode\The testfile for vscode.log                            | Log                |        537 |          0 |         38 |        575 |
| d:\Code Files\vscode\Latex\Ali-loner.github.io-master\The LaTeX testfile for vscode\The testfile for vscode.tex                            | LaTeX              |         37 |          0 |         10 |         47 |
| d:\Code Files\vscode\Latex\Ali-loner.github.io-master\The LaTeX testfile for vscode\books.bib                                              | BibTeX             |          7 |          0 |          0 |          7 |
| d:\Code Files\vscode\java\.idea\checkstyle-idea.xml                                                                                        | XML                |         16 |          0 |          0 |         16 |
| d:\Code Files\vscode\java\.idea\material_theme_project_new.xml                                                                             | XML                |         12 |          0 |          0 |         12 |
| d:\Code Files\vscode\java\.idea\vcs.xml                                                                                                    | XML                |          6 |          0 |          0 |          6 |
| d:\Code Files\vscode\java\.idea\workspace.xml                                                                                              | XML                |         48 |          0 |          0 |         48 |
| d:\Code Files\vscode\java\primary_learn\.idea\workspace.xml                                                                                | XML                |         55 |          0 |          0 |         55 |
| d:\Code Files\vscode\java\primary_learn\src\ExamOriented.java                                                                              | Java               |         38 |          0 |          5 |         43 |
| d:\Code Files\vscode\java\primary_learn\src\ExamOrientedTest.java                                                                          | Java               |         75 |          0 |          9 |         84 |
| d:\Code Files\vscode\java\primary_learn\src\Main.java                                                                                      | Java               |        169 |        212 |         47 |        428 |
| d:\Code Files\vscode\java\primary_learn\test.cpp                                                                                           | C++                |          5 |          0 |          0 |          5 |
| d:\Code Files\vscode\python\Alien_invasion\.idea\alien_invasion.iml                                                                        | XML                |          8 |          0 |          0 |          8 |
| d:\Code Files\vscode\python\Alien_invasion\.idea\inspectionProfiles\profiles_settings.xml                                                  | XML                |          6 |          0 |          0 |          6 |
| d:\Code Files\vscode\python\Alien_invasion\.idea\misc.xml                                                                                  | XML                |          7 |          0 |          0 |          7 |
| d:\Code Files\vscode\python\Alien_invasion\.idea\modules.xml                                                                               | XML                |          8 |          0 |          0 |          8 |
| d:\Code Files\vscode\python\Alien_invasion\alien.py                                                                                        | Python             |         23 |          3 |          7 |         33 |
| d:\Code Files\vscode\python\Alien_invasion\alien_invasion.py                                                                               | Python             |         44 |          1 |         10 |         55 |
| d:\Code Files\vscode\python\Alien_invasion\bullet.py                                                                                       | Python             |         17 |          6 |          6 |         29 |
| d:\Code Files\vscode\python\Alien_invasion\button.py                                                                                       | Python             |         25 |          1 |         15 |         41 |
| d:\Code Files\vscode\python\Alien_invasion\game_functions.py                                                                               | Python             |        181 |         12 |         38 |        231 |
| d:\Code Files\vscode\python\Alien_invasion\game_stats.py                                                                                   | Python             |          7 |          1 |          1 |          9 |
| d:\Code Files\vscode\python\Alien_invasion\practice\rain_drop.py                                                                           | Python             |         37 |          0 |         11 |         48 |
| d:\Code Files\vscode\python\Alien_invasion\scoreboard.py                                                                                   | Python             |         31 |          2 |          9 |         42 |
| d:\Code Files\vscode\python\Alien_invasion\settings.py                                                                                     | Python             |         15 |          0 |          3 |         18 |
| d:\Code Files\vscode\python\Alien_invasion\ship.py                                                                                         | Python             |         35 |          3 |          9 |         47 |
| d:\Code Files\vscode\python\ArcGISPro\test_arcpy.py                                                                                        | Python             |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\python\Pics\挑战杯\matplolib\2. 用户增长预测图.py                                                                               | Python             |         14 |          0 |          2 |         16 |
| d:\Code Files\vscode\python\Pics\挑战杯\matplolib\成本收益比分析图（ROI、盈亏平衡点）.py                                                                      | Python             |         23 |          3 |          8 |         34 |
| d:\Code Files\vscode\python\Pics\挑战杯\matplolib\数据对比图.py                                                                                    | Python             |         32 |          2 |          7 |         41 |
| d:\Code Files\vscode\python\Pics\挑战杯\功能模块图.py                                                                                              | Python             |         25 |          0 |          5 |         30 |
| d:\Code Files\vscode\python\Pics\挑战杯\成本收益比分析图（ROI、盈亏平衡点）.py                                                                                | Python             |         21 |          0 |          5 |         26 |
| d:\Code Files\vscode\python\Pics\挑战杯\数据对比图.py                                                                                              | Python             |         27 |          1 |          5 |         33 |
| d:\Code Files\vscode\python\Pics\挑战杯\用户增长预测图.py                                                                                            | Python             |         15 |          0 |          4 |         19 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\api_client.py                                                                             | Python             |         37 |          2 |          7 |         46 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\args.py                                                                                   | Python             |         22 |          0 |          3 |         25 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\chat-history\ai-chat-history-or-ds-chat.md                                                | Markdown           |        163 |          0 |         39 |        202 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\chat-history\ai-chat-history-or-ds.md                                                     | Markdown           |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\chat-history\ai-chat-history-or-k2.md                                                     | Markdown           |         12 |          0 |          1 |         13 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\config.py                                                                                 | Python             |         20 |          1 |          2 |         23 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\constants.py                                                                              | Python             |          4 |          1 |          2 |          7 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\conversation.py                                                                           | Python             |         42 |          1 |         11 |         54 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\history.py                                                                                | Python             |         16 |          1 |          9 |         26 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\main.py                                                                                   | Python             |         58 |          2 |         19 |         79 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\prompt.py                                                                                 | Python             |          2 |          0 |          1 |          3 |
| d:\Code Files\vscode\python\Projects\AiCLIClient\utils.py                                                                                  | Python             |         22 |          1 |          8 |         31 |
| d:\Code Files\vscode\python\Projects\clipboard_saver.py                                                                                    | Python             |         30 |          0 |          4 |         34 |
| d:\Code Files\vscode\python\Python Deeplearn\LICENSE.md                                                                                    | Markdown           |         17 |          0 |          5 |         22 |
| d:\Code Files\vscode\python\Python Deeplearn\README.md                                                                                     | Markdown           |         31 |          0 |         21 |         52 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\._LICENSE.md                                                                         | Markdown           |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\._README.md                                                                          | Markdown           |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._hungry.py                                                                     | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._img_show.py                                                                   | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._man.py                                                                        | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._simple_graph.py                                                               | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._sin_cos_graph.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch01\._sin_graph.py                                                                  | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch02\._and_gate.py                                                                   | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch02\._nand_gate.py                                                                  | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch02\._or_gate.py                                                                    | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch02\._xor_gate.py                                                                   | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._mnist_show.py                                                                 | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._neuralnet_mnist.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._neuralnet_mnist_batch.py                                                      | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._relu.py                                                                       | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._sig_step_compare.py                                                           | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._sigmoid.py                                                                    | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch03\._step_function.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._gradient_1d.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._gradient_2d.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._gradient_method.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._gradient_simplenet.py                                                         | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._train_neuralnet.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch04\._two_layer_net.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._buy_apple.py                                                                  | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._buy_apple_orange.py                                                           | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._gradient_check.py                                                             | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._layer_naive.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._train_neuralnet.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch05\._two_layer_net.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._batch_norm_gradient_check.py                                                  | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._batch_norm_test.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._hyperparameter_optimization.py                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._optimizer_compare_mnist.py                                                    | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._optimizer_compare_naive.py                                                    | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._overfit_dropout.py                                                            | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._overfit_weight_decay.py                                                       | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._weight_init_activation_histogram.py                                           | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch06\._weight_init_compare.py                                                        | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch07\._apply_filter.py                                                               | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch07\._gradient_check.py                                                             | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch07\._simple_convnet.py                                                             | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch07\._train_convnet.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch07\._visualize_filter.py                                                           | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch08\._awesome_net.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch08\._deep_convnet.py                                                               | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch08\._half_float_network.py                                                         | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch08\._misclassified_mnist.py                                                        | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\ch08\._train_deepnet.py                                                              | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\.___init__.py                                                                 | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._functions.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._gradient.py                                                                 | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._layers.py                                                                   | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._multi_layer_net.py                                                          | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._multi_layer_net_extend.py                                                   | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._optimizer.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._trainer.py                                                                  | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\common\._util.py                                                                     | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\dataset\.___init__.py                                                                | Python             |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\__MACOSX\dataset\._mnist.py                                                                   | Python             |          4 |          0 |          1 |          5 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\hungry.py                                                                                | Python             |          1 |          0 |          1 |          2 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\img_show.py                                                                              | Python             |          5 |          1 |          2 |          8 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\man.py                                                                                   | Python             |         12 |          1 |          4 |         17 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\simple_graph.py                                                                          | Python             |          6 |          3 |          2 |         11 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\sin_cos_graph.py                                                                         | Python             |         12 |          3 |          2 |         17 |
| d:\Code Files\vscode\python\Python Deeplearn\ch01\sin_graph.py                                                                             | Python             |          6 |          3 |          3 |         12 |
| d:\Code Files\vscode\python\Python Deeplearn\ch02\and_gate.py                                                                              | Python             |         14 |          1 |          4 |         19 |
| d:\Code Files\vscode\python\Python Deeplearn\ch02\nand_gate.py                                                                             | Python             |         14 |          1 |          4 |         19 |
| d:\Code Files\vscode\python\Python Deeplearn\ch02\or_gate.py                                                                               | Python             |         14 |          1 |          3 |         18 |
| d:\Code Files\vscode\python\Python Deeplearn\ch02\xor_gate.py                                                                              | Python             |         12 |          1 |          3 |         16 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\mnist_show.py                                                                            | Python             |         16 |          1 |          7 |         24 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\neuralnet_mnist.py                                                                       | Python             |         32 |          1 |         11 |         44 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\neuralnet_mnist_batch.py                                                                 | Python             |         33 |          1 |         14 |         48 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\relu.py                                                                                  | Python             |          9 |          1 |          4 |         14 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\sig_step_compare.py                                                                      | Python             |         13 |          1 |          7 |         21 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\sigmoid.py                                                                               | Python             |          9 |          1 |          4 |         14 |
| d:\Code Files\vscode\python\Python Deeplearn\ch03\step_function.py                                                                         | Python             |          9 |          1 |          4 |         14 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\gradient_1d.py                                                                           | Python             |         21 |          1 |         10 |         32 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\gradient_2d.py                                                                           | Python             |         50 |          2 |         18 |         70 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\gradient_method.py                                                                       | Python             |         25 |          1 |         12 |         38 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\gradient_simplenet.py                                                                    | Python             |         21 |          1 |         10 |         32 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\train_neuralnet.py                                                                       | Python             |         40 |          6 |         11 |         57 |
| d:\Code Files\vscode\python\Python Deeplearn\ch04\two_layer_net.py                                                                         | Python             |         53 |          6 |         19 |         78 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\buy_apple.py                                                                             | Python             |         15 |          3 |          7 |         25 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\buy_apple_orange.py                                                                      | Python             |         25 |          4 |          6 |         35 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\gradient_check.py                                                                        | Python             |         14 |          2 |          5 |         21 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\layer_naive.py                                                                           | Python             |         23 |          1 |         13 |         37 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\train_neuralnet.py                                                                       | Python             |         30 |          5 |         12 |         47 |
| d:\Code Files\vscode\python\Python Deeplearn\ch05\two_layer_net.py                                                                         | Python             |         51 |          8 |         19 |         78 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\batch_norm_gradient_check.py                                                             | Python             |         15 |          2 |          6 |         23 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\batch_norm_test.py                                                                       | Python             |         65 |          3 |         19 |         87 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\hyperparameter_optimization.py                                                           | Python             |         56 |          7 |         15 |         78 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\optimizer_compare_mnist.py                                                               | Python             |         47 |          6 |         14 |         67 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\optimizer_compare_naive.py                                                               | Python             |         48 |          5 |         17 |         70 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\overfit_dropout.py                                                                       | Python             |         29 |          5 |          6 |         40 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\overfit_weight_decay.py                                                                  | Python             |         47 |          6 |         15 |         68 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\weight_init_activation_histogram.py                                                      | Python             |         26 |         11 |         17 |         54 |
| d:\Code Files\vscode\python\Python Deeplearn\ch06\weight_init_compare.py                                                                   | Python             |         44 |          5 |         14 |         63 |
| d:\Code Files\vscode\python\Python Deeplearn\ch07\apply_filter.py                                                                          | Python             |         34 |          6 |         14 |         54 |
| d:\Code Files\vscode\python\Python Deeplearn\ch07\gradient_check.py                                                                        | Python             |         11 |          1 |          4 |         16 |
| d:\Code Files\vscode\python\Python Deeplearn\ch07\simple_convnet.py                                                                        | Python             |         88 |         49 |         23 |        160 |
| d:\Code Files\vscode\python\Python Deeplearn\ch07\train_convnet.py                                                                         | Python             |         28 |          7 |          8 |         43 |
| d:\Code Files\vscode\python\Python Deeplearn\ch07\visualize_filter.py                                                                      | Python             |         16 |          6 |          6 |         28 |
| d:\Code Files\vscode\python\Python Deeplearn\ch08\awesome_net.py                                                                           | Python             |          0 |          1 |          0 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\ch08\deep_convnet.py                                                                          | Python             |        102 |         15 |         20 |        137 |
| d:\Code Files\vscode\python\Python Deeplearn\ch08\half_float_network.py                                                                    | Python             |         19 |          2 |          8 |         29 |
| d:\Code Files\vscode\python\Python Deeplearn\ch08\misclassified_mnist.py                                                                   | Python             |         41 |          4 |         16 |         61 |
| d:\Code Files\vscode\python\Python Deeplearn\ch08\train_deepnet.py                                                                         | Python             |         16 |          2 |          4 |         22 |
| d:\Code Files\vscode\python\Python Deeplearn\common\__init__.py                                                                            | Python             |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\common\functions.py                                                                           | Python             |         36 |          2 |         24 |         62 |
| d:\Code Files\vscode\python\Python Deeplearn\common\gradient.py                                                                            | Python             |         36 |          1 |         15 |         52 |
| d:\Code Files\vscode\python\Python Deeplearn\common\layers.py                                                                              | Python             |        200 |         13 |         72 |        285 |
| d:\Code Files\vscode\python\Python Deeplearn\common\multi_layer_net.py                                                                     | Python             |         73 |         64 |         24 |        161 |
| d:\Code Files\vscode\python\Python Deeplearn\common\multi_layer_net_extend.py                                                              | Python             |         90 |         48 |         25 |        163 |
| d:\Code Files\vscode\python\Python Deeplearn\common\optimizer.py                                                                           | Python             |         81 |         12 |         38 |        131 |
| d:\Code Files\vscode\python\Python Deeplearn\common\trainer.py                                                                             | Python             |         59 |          4 |         16 |         79 |
| d:\Code Files\vscode\python\Python Deeplearn\common\util.py                                                                                | Python             |         39 |         45 |         15 |         99 |
| d:\Code Files\vscode\python\Python Deeplearn\dataset\__init__.py                                                                           | Python             |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\python\Python Deeplearn\dataset\mnist.py                                                                              | Python             |         84 |         15 |         30 |        129 |
| d:\Code Files\vscode\python\ScriptTools\aliyun_translate.py                                                                                | Python             |         55 |         21 |         11 |         87 |
| d:\Code Files\vscode\python\ScriptTools\emailSender.py                                                                                     | Python             |         34 |          5 |          8 |         47 |
| d:\Code Files\vscode\python\ScriptTools\email_sender_cli.py                                                                                | Python             |         85 |          2 |         15 |        102 |
| d:\Code Files\vscode\python\ScriptTools\fetchWifiSavedonWindows.py                                                                         | Python             |         19 |          1 |          1 |         21 |
| d:\Code Files\vscode\python\ScriptTools\fileTreeImplement.py                                                                               | Python             |         60 |         19 |         16 |         95 |
| d:\Code Files\vscode\python\ScriptTools\get_baisi.py                                                                                       | Python             |         25 |          7 |          9 |         41 |
| d:\Code Files\vscode\python\ScriptTools\get_heisi.py                                                                                       | Python             |         18 |          4 |          5 |         27 |
| d:\Code Files\vscode\python\ScriptTools\moveFilesBySuffix.py                                                                               | Python             |         30 |          9 |         12 |         51 |
| d:\Code Files\vscode\python\ScriptTools\readDirectory.py                                                                                   | Python             |         19 |          6 |         11 |         36 |
| d:\Code Files\vscode\python\ScriptTools\removeRepeatLines.py                                                                               | Python             |         40 |         16 |         12 |         68 |
| d:\Code Files\vscode\python\ScriptTools\remove_blank.py                                                                                    | Python             |        141 |         20 |         34 |        195 |
| d:\Code Files\vscode\python\ScriptTools\scripts_manager.py                                                                                 | Python             |        141 |         21 |         36 |        198 |
| d:\Code Files\vscode\python\ScriptTools\today_weather.py                                                                                   | Python             |         22 |          2 |          8 |         32 |
| d:\Code Files\vscode\python\ScriptTools\translate.py                                                                                       | Python             |          8 |          1 |          2 |         11 |
| d:\Code Files\vscode\python\ScriptTools\writeByMyself.py                                                                                   | Python             |         48 |          1 |         18 |         67 |
| d:\Code Files\vscode\python\chore\AI_chat\chat.py                                                                                          | Python             |         85 |         12 |         26 |        123 |
| d:\Code Files\vscode\python\chore\AI_chat\draft.py                                                                                         | Python             |        140 |         26 |         34 |        200 |
| d:\Code Files\vscode\python\chore\AI_chat\main.py                                                                                          | Python             |         29 |          2 |          7 |         38 |
| d:\Code Files\vscode\python\chore\AI_chat\menu.py                                                                                          | Python             |         60 |          9 |         12 |         81 |
| d:\Code Files\vscode\python\chore\AI_chat\utils.py                                                                                         | Python             |         13 |          5 |          6 |         24 |
| d:\Code Files\vscode\python\chore\MyNoteBook\diary_editor.py                                                                               | Python             |        167 |         24 |         26 |        217 |
| d:\Code Files\vscode\python\chore\MyNoteBook\main.py                                                                                       | Python             |         10 |          0 |          5 |         15 |
| d:\Code Files\vscode\python\chore\MyNoteBook\requirements.txt                                                                              | pip requirements   |          3 |          0 |          1 |          4 |
| d:\Code Files\vscode\python\chore\MyNoteBook\res\style.css                                                                                 | PostCSS            |         78 |          0 |         16 |         94 |
