Date : 2025-08-08 13:18:35
Directory : d:\Code Files\vscode
Total : 481 files,  67822 codes, 24439 comments, 10322 blanks, all 102583 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| CCpp\cmake-projects\build\.cmake\api\v1\reply                                                                                              |          7 |      3,959 |          0 |          7 |      3,966 |
| CCpp\cmake-projects\build\CMakeFiles                                                                                                       |         12 |      2,472 |        150 |        411 |      3,033 |
| CCpp\cmake-projects\build\CMakeFiles (Files)                                                                                               |          3 |        889 |         16 |         45 |        950 |
| CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1                                                                                            |          6 |      1,553 |        127 |        356 |      2,036 |
| CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1 (Files)                                                                                    |          4 |        157 |          4 |         50 |        211 |
| CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CompilerIdC                                                                                |          1 |        689 |         61 |        155 |        905 |
| CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CompilerIdCXX                                                                              |          1 |        707 |         62 |        151 |        920 |
| CCpp\cmake-projects\build\CMakeFiles\cmake-test.dir                                                                                        |          3 |         30 |          7 |         10 |         47 |
| CCpp\cmake-projects\include                                                                                                                |          5 |        244 |         11 |         34 |        289 |
| CCpp\cmake-projects\src                                                                                                                    |          4 |        211 |          1 |         37 |        249 |
| CCpp\modernCpp                                                                                                                             |          3 |        198 |        131 |         44 |        373 |
| CCpp\projects                                                                                                                              |        141 |     49,393 |      5,505 |      6,880 |     61,778 |
| CCpp\projects\BookManagePlus                                                                                                               |         62 |     20,660 |      1,838 |      2,406 |     24,904 |
| CCpp\projects\BookManagePlus (Files)                                                                                                       |          3 |        123 |          2 |          4 |        129 |
| CCpp\projects\BookManagePlus\build                                                                                                         |         40 |     10,655 |        131 |        617 |     11,403 |
| CCpp\projects\BookManagePlus\build (Files)                                                                                                 |          5 |      1,326 |          5 |        159 |      1,490 |
| CCpp\projects\BookManagePlus\build\.cmake                                                                                                  |         22 |      7,123 |          0 |         21 |      7,144 |
| CCpp\projects\BookManagePlus\build\.cmake\api                                                                                              |         22 |      7,123 |          0 |         21 |      7,144 |
| CCpp\projects\BookManagePlus\build\.cmake\api\v1                                                                                           |         22 |      7,123 |          0 |         21 |      7,144 |
| CCpp\projects\BookManagePlus\build\.cmake\api\v1\query                                                                                     |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\BookManagePlus\build\.cmake\api\v1\query\client-vscode                                                                       |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\BookManagePlus\build\.cmake\api\v1\reply                                                                                     |         21 |      7,122 |          0 |         21 |      7,143 |
| CCpp\projects\BookManagePlus\build\CMakeFiles                                                                                              |         13 |      2,206 |        126 |        437 |      2,769 |
| CCpp\projects\BookManagePlus\build\CMakeFiles (Files)                                                                                      |          2 |        491 |          0 |         56 |        547 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3                                                                                        |         11 |      1,715 |        126 |        381 |      2,222 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3 (Files)                                                                                |          5 |        197 |          3 |         45 |        245 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC                                                                            |          3 |        750 |         61 |        170 |        981 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC (Files)                                                                    |          2 |        750 |         61 |        168 |        979 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX                                                                          |          3 |        768 |         62 |        166 |        996 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX (Files)                                                                  |          2 |        768 |         62 |        164 |        994 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdCXX\Debug                                                                    |          1 |          0 |          0 |          2 |          2 |
| CCpp\projects\BookManagePlus\build\CMakeFiles\4.0.3\CompilerIdC\Debug                                                                      |          1 |          0 |          0 |          2 |          2 |
| CCpp\projects\BookManagePlus\configs                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| CCpp\projects\BookManagePlus\include                                                                                                       |          8 |      8,892 |      1,626 |      1,634 |     12,152 |
| CCpp\projects\BookManagePlus\include (Files)                                                                                               |          7 |        526 |         29 |         69 |        624 |
| CCpp\projects\BookManagePlus\include\CLI11                                                                                                 |          1 |      8,366 |      1,597 |      1,565 |     11,528 |
| CCpp\projects\BookManagePlus\scripts                                                                                                       |          3 |        141 |          6 |         32 |        179 |
| CCpp\projects\BookManagePlus\src                                                                                                           |          7 |        846 |         73 |        119 |      1,038 |
| CCpp\projects\CLI11learning                                                                                                                |         28 |     13,514 |      1,804 |      2,138 |     17,456 |
| CCpp\projects\CLI11learning (Files)                                                                                                        |          1 |          7 |          0 |          3 |         10 |
| CCpp\projects\CLI11learning\build                                                                                                          |         25 |      5,118 |        203 |        565 |      5,886 |
| CCpp\projects\CLI11learning\build (Files)                                                                                                  |          4 |        540 |         53 |        148 |        741 |
| CCpp\projects\CLI11learning\build\.cmake                                                                                                   |          8 |      2,289 |          0 |          7 |      2,296 |
| CCpp\projects\CLI11learning\build\.cmake\api                                                                                               |          8 |      2,289 |          0 |          7 |      2,296 |
| CCpp\projects\CLI11learning\build\.cmake\api\v1                                                                                            |          8 |      2,289 |          0 |          7 |      2,296 |
| CCpp\projects\CLI11learning\build\.cmake\api\v1\query                                                                                      |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\CLI11learning\build\.cmake\api\v1\query\client-vscode                                                                        |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\CLI11learning\build\.cmake\api\v1\reply                                                                                      |          7 |      2,288 |          0 |          7 |      2,295 |
| CCpp\projects\CLI11learning\build\CMakeFiles                                                                                               |         13 |      2,289 |        150 |        410 |      2,849 |
| CCpp\projects\CLI11learning\build\CMakeFiles (Files)                                                                                       |          4 |        704 |         16 |         44 |        764 |
| CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3                                                                                         |          6 |      1,561 |        127 |        356 |      2,044 |
| CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3 (Files)                                                                                 |          4 |        163 |          4 |         50 |        217 |
| CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CompilerIdC                                                                             |          1 |        690 |         61 |        155 |        906 |
| CCpp\projects\CLI11learning\build\CMakeFiles\4.0.3\CompilerIdCXX                                                                           |          1 |        708 |         62 |        151 |        921 |
| CCpp\projects\CLI11learning\build\CMakeFiles\CLI11learning.dir                                                                             |          3 |         24 |          7 |         10 |         41 |
| CCpp\projects\CLI11learning\include                                                                                                        |          1 |      8,366 |      1,597 |      1,565 |     11,528 |
| CCpp\projects\CLI11learning\src                                                                                                            |          1 |         23 |          4 |          5 |         32 |
| CCpp\projects\CodeLinesCounter                                                                                                             |         48 |     14,871 |      1,831 |      2,264 |     18,966 |
| CCpp\projects\CodeLinesCounter (Files)                                                                                                     |          2 |         15 |          0 |          4 |         19 |
| CCpp\projects\CodeLinesCounter\build                                                                                                       |         25 |      6,116 |        212 |        644 |      6,972 |
| CCpp\projects\CodeLinesCounter\build (Files)                                                                                               |          4 |        730 |         62 |        224 |      1,016 |
| CCpp\projects\CodeLinesCounter\build\.cmake                                                                                                |          8 |      3,037 |          0 |          7 |      3,044 |
| CCpp\projects\CodeLinesCounter\build\.cmake\api                                                                                            |          8 |      3,037 |          0 |          7 |      3,044 |
| CCpp\projects\CodeLinesCounter\build\.cmake\api\v1                                                                                         |          8 |      3,037 |          0 |          7 |      3,044 |
| CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\query                                                                                   |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\query\client-vscode                                                                     |          1 |          1 |          0 |          0 |          1 |
| CCpp\projects\CodeLinesCounter\build\.cmake\api\v1\reply                                                                                   |          7 |      3,036 |          0 |          7 |      3,043 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles                                                                                            |         13 |      2,349 |        150 |        413 |      2,912 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles (Files)                                                                                    |          4 |        755 |         16 |         47 |        818 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3                                                                                      |          6 |      1,561 |        127 |        356 |      2,044 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3 (Files)                                                                              |          4 |        163 |          4 |         50 |        217 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CompilerIdC                                                                          |          1 |        690 |         61 |        155 |        906 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles\4.0.3\CompilerIdCXX                                                                        |          1 |        708 |         62 |        151 |        921 |
| CCpp\projects\CodeLinesCounter\build\CMakeFiles\CodeLinesCounter.dir                                                                       |          3 |         33 |          7 |         10 |         50 |
| CCpp\projects\CodeLinesCounter\include                                                                                                     |          4 |      8,445 |      1,604 |      1,579 |     11,628 |
| CCpp\projects\CodeLinesCounter\include (Files)                                                                                             |          3 |         79 |          7 |         14 |        100 |
| CCpp\projects\CodeLinesCounter\include\CLI11                                                                                               |          1 |      8,366 |      1,597 |      1,565 |     11,528 |
| CCpp\projects\CodeLinesCounter\src                                                                                                         |          4 |        272 |         15 |         25 |        312 |
| CCpp\projects\CodeLinesCounter\test                                                                                                        |         13 |         23 |          0 |         12 |         35 |
| CCpp\projects\CodeLinesCounter\test (Files)                                                                                                |          6 |          6 |          0 |          6 |         12 |
| CCpp\projects\CodeLinesCounter\test\innerFolder                                                                                            |          7 |         17 |          0 |          6 |         23 |
| CCpp\projects\DirectoryFromText                                                                                                            |          2 |        320 |         24 |         66 |        410 |
| CCpp\projects\cpp-emain                                                                                                                    |          1 |         28 |          8 |          6 |         42 |
| Docker                                                                                                                                     |          2 |          4 |          0 |          0 |          4 |
| Drafts                                                                                                                                     |         20 |      1,648 |         53 |        105 |      1,806 |
| Drafts (Files)                                                                                                                             |          3 |      1,412 |          0 |         33 |      1,445 |
| Drafts\CCppOutput                                                                                                                          |          6 |          6 |          0 |          6 |         12 |
| Drafts\CLIScripts                                                                                                                          |          8 |        172 |         53 |         29 |        254 |
| Drafts\terminalLog                                                                                                                         |          3 |         58 |          0 |         37 |         95 |
| HTML                                                                                                                                       |         32 |      1,671 |        840 |        186 |      2,697 |
| HTML\Learning                                                                                                                              |          4 |        587 |        814 |         95 |      1,496 |
| HTML\Projects                                                                                                                              |         25 |      1,054 |         26 |         91 |      1,171 |
| HTML\Projects\IntelligentIrrigationSystem                                                                                                  |         21 |        772 |          9 |         58 |        839 |
| HTML\Projects\IntelligentIrrigationSystem (Files)                                                                                          |          6 |        509 |          7 |         58 |        574 |
| HTML\Projects\IntelligentIrrigationSystem\components                                                                                       |          3 |        108 |          2 |          0 |        110 |
| HTML\Projects\IntelligentIrrigationSystem\imgs                                                                                             |          1 |          1 |          0 |          0 |          1 |
| HTML\Projects\IntelligentIrrigationSystem\pages                                                                                            |         11 |        154 |          0 |          0 |        154 |
| HTML\Projects\LoginRegPage                                                                                                                 |          4 |        282 |         17 |         33 |        332 |
| HTML\Projects\LoginRegPage (Files)                                                                                                         |          3 |        276 |         17 |         32 |        325 |
| HTML\Projects\LoginRegPage\.continue                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| HTML\Projects\LoginRegPage\.continue\docs                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| HTML\src                                                                                                                                   |          3 |         30 |          0 |          0 |         30 |
| HTML\src\html                                                                                                                              |          3 |         30 |          0 |          0 |         30 |
| Latex                                                                                                                                      |          3 |        581 |          0 |         48 |        629 |
| Latex\Ali-loner.github.io-master                                                                                                           |          3 |        581 |          0 |         48 |        629 |
| Latex\Ali-loner.github.io-master\The LaTeX testfile for vscode                                                                             |          3 |        581 |          0 |         48 |        629 |
| java                                                                                                                                       |          9 |        424 |        212 |         61 |        697 |
| java\.idea                                                                                                                                 |          4 |         82 |          0 |          0 |         82 |
| java\primary_learn                                                                                                                         |          5 |        342 |        212 |         61 |        615 |
| java\primary_learn (Files)                                                                                                                 |          1 |          5 |          0 |          0 |          5 |
| java\primary_learn\.idea                                                                                                                   |          1 |         55 |          0 |          0 |         55 |
| java\primary_learn\src                                                                                                                     |          3 |        282 |        212 |         61 |        555 |
| python                                                                                                                                     |        203 |      4,815 |        765 |      1,450 |      7,030 |
| python\Alien_invasion                                                                                                                      |         14 |        444 |         29 |        109 |        582 |
| python\Alien_invasion (Files)                                                                                                              |          9 |        378 |         29 |         98 |        505 |
| python\Alien_invasion\.idea                                                                                                                |          4 |         29 |          0 |          0 |         29 |
| python\Alien_invasion\.idea (Files)                                                                                                        |          3 |         23 |          0 |          0 |         23 |
| python\Alien_invasion\.idea\inspectionProfiles                                                                                             |          1 |          6 |          0 |          0 |          6 |
| python\Alien_invasion\practice                                                                                                             |          1 |         37 |          0 |         11 |         48 |
| python\ArcGISPro                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| python\Pics                                                                                                                                |          7 |        157 |          6 |         36 |        199 |
| python\Pics\挑战杯                                                                                                                            |          7 |        157 |          6 |         36 |        199 |
| python\Pics\挑战杯 (Files)                                                                                                                    |          4 |         88 |          1 |         19 |        108 |
| python\Pics\挑战杯\matplolib                                                                                                                  |          3 |         69 |          5 |         17 |         91 |
| python\Projects                                                                                                                            |         13 |        434 |          9 |        107 |        550 |
| python\Projects (Files)                                                                                                                    |          1 |         30 |          0 |          4 |         34 |
| python\Projects\AiCLIClient                                                                                                                |         12 |        404 |          9 |        103 |        516 |
| python\Projects\AiCLIClient (Files)                                                                                                        |          9 |        223 |          9 |         62 |        294 |
| python\Projects\AiCLIClient\chat-history                                                                                                   |          3 |        181 |          0 |         41 |        222 |
| python\Python Deeplearn                                                                                                                    |        122 |      2,127 |        409 |        735 |      3,271 |
| python\Python Deeplearn (Files)                                                                                                            |          2 |         48 |          0 |         26 |         74 |
| python\Python Deeplearn\__MACOSX                                                                                                           |         61 |         64 |          0 |          1 |         65 |
| python\Python Deeplearn\__MACOSX (Files)                                                                                                   |          2 |          2 |          0 |          0 |          2 |
| python\Python Deeplearn\__MACOSX\ch01                                                                                                      |          6 |          6 |          0 |          0 |          6 |
| python\Python Deeplearn\__MACOSX\ch02                                                                                                      |          4 |          4 |          0 |          0 |          4 |
| python\Python Deeplearn\__MACOSX\ch03                                                                                                      |          7 |          7 |          0 |          0 |          7 |
| python\Python Deeplearn\__MACOSX\ch04                                                                                                      |          6 |          6 |          0 |          0 |          6 |
| python\Python Deeplearn\__MACOSX\ch05                                                                                                      |          6 |          6 |          0 |          0 |          6 |
| python\Python Deeplearn\__MACOSX\ch06                                                                                                      |          9 |          9 |          0 |          0 |          9 |
| python\Python Deeplearn\__MACOSX\ch07                                                                                                      |          5 |          5 |          0 |          0 |          5 |
| python\Python Deeplearn\__MACOSX\ch08                                                                                                      |          5 |          5 |          0 |          0 |          5 |
| python\Python Deeplearn\__MACOSX\common                                                                                                    |          9 |          9 |          0 |          0 |          9 |
| python\Python Deeplearn\__MACOSX\dataset                                                                                                   |          2 |          5 |          0 |          1 |          6 |
| python\Python Deeplearn\ch01                                                                                                               |          6 |         42 |         11 |         14 |         67 |
| python\Python Deeplearn\ch02                                                                                                               |          4 |         54 |          4 |         14 |         72 |
| python\Python Deeplearn\ch03                                                                                                               |          7 |        121 |          7 |         51 |        179 |
| python\Python Deeplearn\ch04                                                                                                               |          6 |        210 |         17 |         80 |        307 |
| python\Python Deeplearn\ch05                                                                                                               |          6 |        158 |         23 |         62 |        243 |
| python\Python Deeplearn\ch06                                                                                                               |          9 |        377 |         50 |        123 |        550 |
| python\Python Deeplearn\ch07                                                                                                               |          5 |        177 |         69 |         55 |        301 |
| python\Python Deeplearn\ch08                                                                                                               |          5 |        178 |         24 |         48 |        250 |
| python\Python Deeplearn\common                                                                                                             |          9 |        614 |        189 |        230 |      1,033 |
| python\Python Deeplearn\dataset                                                                                                            |          2 |         84 |         15 |         31 |        130 |
| python\ScriptTools                                                                                                                         |         15 |        745 |        135 |        198 |      1,078 |
| python\chore                                                                                                                               |         17 |        798 |        111 |        197 |      1,106 |
| python\chore\AI_chat                                                                                                                       |          5 |        327 |         54 |         85 |        466 |
| python\chore\MyNoteBook                                                                                                                    |          4 |        258 |         24 |         48 |        330 |
| python\chore\MyNoteBook (Files)                                                                                                            |          3 |        180 |         24 |         32 |        236 |
| python\chore\MyNoteBook\res                                                                                                                |          1 |         78 |          0 |         16 |         94 |
| python\chore\PicToAscii                                                                                                                    |          1 |         37 |          1 |         10 |         48 |
| python\chore\Text_editor                                                                                                                   |          5 |        111 |          4 |         30 |        145 |
| python\chore\excels                                                                                                                        |          2 |         65 |         28 |         24 |        117 |
| python\djangoTutorial                                                                                                                      |         14 |        109 |         66 |         67 |        242 |
| python\djangoTutorial (Files)                                                                                                              |          1 |         15 |          3 |          5 |         23 |
| python\djangoTutorial\mysite                                                                                                               |          5 |         77 |         59 |         46 |        182 |
| python\djangoTutorial\polls                                                                                                                |          8 |         17 |          4 |         16 |         37 |
| python\djangoTutorial\polls (Files)                                                                                                        |          7 |         17 |          4 |         15 |         36 |
| python\djangoTutorial\polls\migrations                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| sqlfiles                                                                                                                                   |          5 |        204 |         35 |         68 |        307 |
| typescript                                                                                                                                 |          6 |        113 |         23 |         22 |        158 |
| typescript (Files)                                                                                                                         |          3 |         53 |         18 |          8 |         79 |
| typescript\src                                                                                                                             |          3 |         60 |          5 |         14 |         79 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Code Files\vscode\CCpp\Data Struct\1weekquiz.cpp                                                                                        | C++                |        114 |          1 |          0 |        115 |
| d:\Code Files\vscode\CCpp\Data Struct\MOOC_data_struct.cpp                                                                                 | C++                |          0 |        108 |         17 |        125 |
| d:\Code Files\vscode\CCpp\Data Struct\dataStruct.c                                                                                         | C                  |         72 |          6 |         17 |         95 |
| d:\Code Files\vscode\CCpp\Data Struct\dialogue.cpp                                                                                         | C++                |        213 |         33 |         12 |        258 |
| d:\Code Files\vscode\CCpp\Data Struct\dsacpp_learn.cpp                                                                                     | C++                |         80 |        128 |         17 |        225 |
| d:\Code Files\vscode\CCpp\Data Struct\experimental_design.cpp                                                                              | C++                |          1 |        360 |         26 |        387 |
| d:\Code Files\vscode\CCpp\Data Struct\jiwang_exam.cpp                                                                                      | C++                |         78 |         15 |         22 |        115 |
| d:\Code Files\vscode\CCpp\Data Struct\runoob.cpp                                                                                           | C++                |         39 |      2,013 |        266 |      2,318 |
| d:\Code Files\vscode\CCpp\algorithm\C_lang_website.cpp                                                                                     | C++                |          0 |        128 |          9 |        137 |
| d:\Code Files\vscode\CCpp\algorithm\Leecode.cpp                                                                                            | C++                |          8 |      8,879 |        141 |      9,028 |
| d:\Code Files\vscode\CCpp\algorithm\PTA.cpp                                                                                                | C++                |          1 |        821 |         47 |        869 |
| d:\Code Files\vscode\CCpp\algorithm\Standard_template.cpp                                                                                  | C++                |         88 |          9 |          2 |         99 |
| d:\Code Files\vscode\CCpp\algorithm\StdTept_test.cpp                                                                                       | C++                |         20 |          2 |          0 |         22 |
| d:\Code Files\vscode\CCpp\algorithm\acwing.cpp                                                                                             | C++                |          2 |         15 |          5 |         22 |
| d:\Code Files\vscode\CCpp\algorithm\caculat.cpp                                                                                            | C++                |        241 |        181 |         20 |        442 |
| d:\Code Files\vscode\CCpp\algorithm\dataStruct.cpp                                                                                         | C++                |        107 |          0 |          8 |        115 |
| d:\Code Files\vscode\CCpp\algorithm\labuladuo_terms.cpp                                                                                    | C++                |          2 |         87 |          3 |         92 |
| d:\Code Files\vscode\CCpp\algorithm\lanqiaobei.cpp                                                                                         | C++                |          3 |      3,304 |        111 |      3,418 |
| d:\Code Files\vscode\CCpp\algorithm\luogu.cpp                                                                                              | C++                |         34 |        201 |          6 |        241 |
| d:\Code Files\vscode\CCpp\algorithm\newLeetcode.cpp                                                                                        | C++                |          0 |          0 |          1 |          1 |
| d:\Code Files\vscode\CCpp\algorithm\random.cpp                                                                                             | C++                |         17 |        142 |          5 |        164 |
| d:\Code Files\vscode\CCpp\algorithm\tempCodeRunnerFile.cpp                                                                                 | C++                |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\CCpp\algorithm\wushixiong.cpp                                                                                         | C++                |          2 |        220 |          5 |        227 |
| d:\Code Files\vscode\CCpp\cmake-projects\CMakeLists.txt                                                                                    | CMake              |         22 |          1 |          6 |         29 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\query\client-vscode\query.json                                                | JSON               |          1 |          0 |          0 |          1 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\cache-v2-be6175c942cf5707d520.json                                      | JSON               |      2,407 |          0 |          1 |      2,408 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\cmakeFiles-v1-a9792f58b3b44556cdc6.json                                 | JSON               |      1,018 |          0 |          1 |      1,019 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\codemodel-v2-33528fd8d6685977a59a.json                                  | JSON               |         60 |          0 |          1 |         61 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json                             | JSON               |         14 |          0 |          1 |         15 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\index-2025-07-13T03-03-17-0283.json                                     | JSON               |        132 |          0 |          1 |        133 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\target-cmake-test-Debug-7550adbf4346fc4dad70.json                       | JSON               |        190 |          0 |          1 |        191 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\toolchains-v1-c5a7cb7b2870dc559920.json                                 | JSON               |        138 |          0 |          1 |        139 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeCache.txt                                                                              | CMake Cache        |        548 |          0 |        156 |        704 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeCCompiler.cmake                                                  | CMake              |         63 |          1 |         18 |         82 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeCXXCompiler.cmake                                                | CMake              |         77 |          3 |         26 |        106 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeRCCompiler.cmake                                                 | CMake              |          6 |          0 |          1 |          7 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeSystem.cmake                                                     | CMake              |         11 |          0 |          5 |         16 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CompilerIdCXX\CMakeCXXCompilerId.cpp                                  | C++                |        707 |         62 |        151 |        920 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CompilerIdC\CMakeCCompilerId.c                                        | C                  |        689 |         61 |        155 |        905 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\CMakeConfigureLog.yaml                                                           | YAML               |        688 |          4 |         34 |        726 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\CMakeDirectoryInformation.cmake                                                  | CMake              |          7 |          5 |          5 |         17 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\Makefile.cmake                                                                   | CMake              |        194 |          7 |          6 |        207 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\cmake-test.dir\DependInfo.cmake                                                  | CMake              |         13 |          6 |          7 |         26 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\cmake-test.dir\cmake_clean.cmake                                                 | CMake              |         15 |          1 |          2 |         18 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\cmake-test.dir\compiler_depend.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\Makefile                                                                                    | Makefile           |        123 |         53 |         59 |        235 |
| d:\Code Files\vscode\CCpp\cmake-projects\build\cmake_install.cmake                                                                         | CMake              |         48 |          6 |          8 |         62 |
